id,code,name,continent,iso_country
302939,AR-J,San Juan Province,SA,AR
302940,AR-K,Catamarca Province,SA,AR
302941,AR-L,La Pampa Province,SA,AR
302942,AR-M,Mendoza Province,SA,AR
302943,AR-N,Misiones Province,SA,AR
302944,AR-P,Formosa Province,SA,AR
302945,AR-Q,Neuqu����,SA,AR
302946,AR-R,R������,SA,AR
302947,AR-S,Santa Fe Province,SA,AR
302948,AR-T,Tucum����,SA,AR
302949,AR-U,Chubut Province,SA,AR
302951,AR-V,Tierra del Fuego Province,SA,AR
302952,AR-W,Corrientes Province,SA,AR
302953,AR-X,C������,SA,AR
302954,AR-Y,Jujuy Province,SA,AR
302955,AR-Z,Santa Cruz Province,SA,AR
302957,AT-1,Burgenland,EU,AT
302958,AT-2,Carinthia,EU,AT
302959,AT-3,Lower Austria,EU,AT
302960,AT-4,Upper Austria,EU,AT
302961,AT-5,Salzburg,EU,AT
302962,AT-6,Styria,EU,AT
302963,AT-7,Tyrol,EU,AT
302964,AT-8,Vorarlberg,EU,AT
302965,AT-9,Vienna,EU,AT
302967,AU-AAT,Australian Antarctic Territory,OC,AU
302968,AU-ACT,Australian Capital Territory,OC,AU
302969,AU-NSW,New South Wales,OC,AU
302970,AU-NT,Northern Territory,OC,AU
302971,AU-QLD,Queensland,OC,AU
302972,AU-SA,South Australia,OC,AU
302973,AU-TAS,Tasmania,OC,AU
302975,AU-VIC,Victoria,OC,AU
302976,AU-WA,Western Australia,OC,AU
302978,AZ-AB,Ali Bayramli District,AS,AZ
302979,AZ-ABS,Abseron District,AS,AZ
302980,AZ-AGA,Agstafa District,AS,AZ
302981,AZ-AGC,Agjabadi District,AS,AZ
302982,AZ-AGM,Agdam District,AS,AZ
302983,AZ-AGS,Agdash District,AS,AZ
302984,AZ-AGU,Agsu District,AS,AZ
302985,AZ-AST,Astara District,AS,AZ
302986,AZ-BA,Baku (city),AS,AZ
302987,AZ-BAB,Babak District,AS,AZ
302988,AZ-BAL,Balakan District,AS,AZ
302989,AZ-BAR,Barda District,AS,AZ
302990,AZ-BEY,Beylagan District,AS,AZ
302991,AZ-BIL,Bilasuvar District,AS,AZ
302992,AZ-CAB,Cabrayll District,AS,AZ
302993,AZ-CAL,Calilabad District,AS,AZ
302994,AZ-CUL,Culfa District,AS,AZ
302995,AZ-DAS,Daskasan District,AS,AZ
302996,AZ-DAV,Davaci District,AS,AZ
302997,AZ-FUZ,Fuzuli District,AS,AZ
302998,AZ-GA,Ganja (city),AS,AZ
302999,AZ-GAD,Gadabay District,AS,AZ
303000,AZ-GOR,Goranboy District,AS,AZ
303001,AZ-GOY,Goychay District,AS,AZ
303002,AZ-HAC,Hajigabul District,AS,AZ
303003,AZ-IMI,Imisli District,AS,AZ
303004,AZ-ISM,Ismayilli District,AS,AZ
303005,AZ-KAL,Kalbacar District,AS,AZ
303006,AZ-KUR,Kurdamir District,AS,AZ
303007,AZ-LA,Lankaran District,AS,AZ
303008,AZ-LAC,Lacin District,AS,AZ
303009,AZ-LER,Lerik District,AS,AZ
303010,AZ-MAS,Masally District,AS,AZ
303011,AZ-MI,Mingacevir District,AS,AZ
303012,AZ-NA,Naftalan District,AS,AZ
303013,AZ-NEF,Neftcala District,AS,AZ
303014,AZ-NX,Nakhchivan Autonomous Republic,AS,AZ
303015,AZ-OGU,Oguz District,AS,AZ
303016,AZ-ORD,Ordubad District,AS,AZ
303017,AZ-QAB,Qabala District,AS,AZ
303018,AZ-QAX,Qax District,AS,AZ
303019,AZ-QAZ,Qazax District,AS,AZ
303020,AZ-QBA,Quba District,AS,AZ
303021,AZ-QBI,Qubadli District,AS,AZ
303022,AZ-QOB,Qobustan District,AS,AZ
303023,AZ-QUS,Qusar District,AS,AZ
303024,AZ-SA,Shaki District,AS,AZ
303025,AZ-SAB,Sabirabad District,AS,AZ
303026,AZ-SAD,Sadarak District,AS,AZ
303027,AZ-SAH,Sahbuz District,AS,AZ
303028,AZ-SAL,Salyan District,AS,AZ
303029,AZ-SAR,Sarur District,AS,AZ
303030,AZ-SAT,Saatli District,AS,AZ
303031,AZ-SIY,Siyazan District,AS,AZ
303032,AZ-SKR,Samkir District,AS,AZ
303033,AZ-SM,Sumqayit (city),AS,AZ
303034,AZ-SMI,Samaxi District,AS,AZ
303035,AZ-SMX,Samux District,AS,AZ
303036,AZ-SS,Susa District,AS,AZ
303037,AZ-TAR,Tartar District,AS,AZ
303038,AZ-TOV,Tovuz District,AS,AZ
303040,AZ-UCA,Ucar District,AS,AZ
303041,AZ-XA,Xankandi District,AS,AZ
303042,AZ-XAC,Khachmaz District,AS,AZ
303043,AZ-XAN,Xanlar District,AS,AZ
303044,AZ-XCI,Khojaly District,AS,AZ
303045,AZ-XIZ,Khizi District,AS,AZ
303046,AZ-XVD,Xocavand District,AS,AZ
303047,AZ-YAR,Yardimli District,AS,AZ
303048,AZ-YE,Yevlax (city),AS,AZ
303049,AZ-ZAN,Zangilan District,AS,AZ
303050,AZ-ZAQ,Zaqatala District,AS,AZ
303051,AZ-ZAR,Zardab District,AS,AZ
303052,BA-BIH,Federacija Bosna i Hercegovina,EU,BA
303053,BA-SRP,Republika Srpska,EU,BA
303055,BB-01,Christ Church,NA,BB
303056,BB-02,Saint Andrew,NA,BB
303057,BB-03,Saint George,NA,BB
303058,BB-04,Saint James,NA,BB
303059,BB-05,Saint John,NA,BB
303060,BB-06,Saint Joseph,NA,BB
303061,BB-07,Saint Lucy,NA,BB
303062,BB-08,Saint Michael,NA,BB
303063,BB-09,Saint Peter,NA,BB
303064,BB-10,Saint Philip,NA,BB
303065,BB-11,Saint Thomas,NA,BB
306743,BD-1,Barisal Division,AS,BD
306744,BD-2,Chittagong Division,AS,BD
306742,BD-3,Dhaka Division,AS,BD
306741,BD-4,Khulna Division,AS,BD
306740,BD-5,Rajshahi Division,AS,BD
306739,BD-6,Sylhet Division,AS,BD
303068,BE-BRU,Brussels-Capital Region,EU,BE
303070,BE-VAN,Antwerp Province,EU,BE
303071,BE-VBR,Flemish Brabant Province,EU,BE
303072,BE-VLI,Limburg Province,EU,BE
303073,BE-VOV,East Flanders Province,EU,BE
303074,BE-VWV,West Flanders Province,EU,BE
303075,BE-WBR,Walloon Brabant Province,EU,BE
303076,BE-WHT,Hainaut Province,EU,BE
303077,BE-WLG,Li�����,EU,BE
303078,BE-WLX,Luxembourg Province,EU,BE
303079,BE-WNA,Namur Province,EU,BE
303080,BF-BAL,Bale,AF,BF
303081,BF-BAM,Bam,AF,BF
303082,BF-BAN,Banwa,AF,BF
303083,BF-BAZ,Bazega,AF,BF
303084,BF-BGR,Bougouriba,AF,BF
303085,BF-BLG,Boulgou,AF,BF
303086,BF-BLK,Boulkiemde,AF,BF
303087,BF-COM,Comoe,AF,BF
303088,BF-GAN,Ganzourgou,AF,BF
303089,BF-GNA,Gnagna,AF,BF
303090,BF-GOU,Gourma,AF,BF
303091,BF-HOU,Houet,AF,BF
303092,BF-IOB,Ioba,AF,BF
303093,BF-KAD,Kadiogo,AF,BF
303094,BF-KEN,Kenedougou,AF,BF
303095,BF-KMD,Komondjari,AF,BF
303096,BF-KMP,Kompienga,AF,BF
303097,BF-KOP,Koulpulogo,AF,BF
303098,BF-KOS,Kossi,AF,BF
303099,BF-KOT,Kouritenga,AF,BF
303100,BF-KOW,Kourweogo,AF,BF
303101,BF-LER,Leraba,AF,BF
303102,BF-LOR,Loroum,AF,BF
303103,BF-MOU,Mouhoun,AF,BF
303104,BF-NAM,Namentenga,AF,BF
303105,BF-NAO,Nahouri,AF,BF
303106,BF-NAY,Nayala,AF,BF
303107,BF-NOU,Noumbiel,AF,BF
303108,BF-OUB,Oubritenga,AF,BF
303109,BF-OUD,Oudalan,AF,BF
303110,BF-PAS,Passore,AF,BF
303111,BF-PON,Poni,AF,BF
303112,BF-SEN,Seno,AF,BF
303113,BF-SIS,Siasili,AF,BF
303114,BF-SMT,Sanmatenga,AF,BF
303115,BF-SNG,Sanguie,AF,BF
303116,BF-SOM,Soum,AF,BF
303117,BF-SOR,Sourou,AF,BF
303118,BF-TAP,Tapoa,AF,BF
303119,BF-TUI,Tui,AF,BF
303121,BF-YAG,Yagha,AF,BF
303122,BF-YAT,Yatenga,AF,BF
303123,BF-ZIR,Ziro,AF,BF
303124,BF-ZON,Zondoma,AF,BF
303125,BF-ZOU,Zoundweogo,AF,BF
303126,BG-01,Blagoevgrad Province,EU,BG
303127,BG-02,Burgas Province,EU,BG
303128,BG-03,Varna Province,EU,BG
303129,BG-04,Veliko Tarnovo Province,EU,BG
303130,BG-05,Vidin Province,EU,BG
303131,BG-06,Vraca Province,EU,BG
303132,BG-07,Gabrovo Province,EU,BG
303133,BG-08,Dobric Province,EU,BG
303134,BG-09,Kardzali Province,EU,BG
303135,BG-10,Kyustendil Province,EU,BG
303136,BG-11,Lovec Province,EU,BG
303137,BG-12,Montana Province,EU,BG
303138,BG-13,Pazardzhik Province,EU,BG
303139,BG-14,Pernik Province,EU,BG
303140,BG-15,Pleven Province,EU,BG
303141,BG-16,Plovdiv Province,EU,BG
303142,BG-17,Razgrad Province,EU,BG
303143,BG-18,Ruse Province,EU,BG
303144,BG-19,Silistra Province,EU,BG
303145,BG-20,Sliven Province,EU,BG
303146,BG-21,Smoljan Province,EU,BG
303147,BG-23,Sofia Province,EU,BG
303148,BG-24,Stara Zagora Province,EU,BG
303149,BG-25,Targovishte Province,EU,BG
303150,BG-26,Haskovo Province,EU,BG
303151,BG-27,Sumen Province,EU,BG
303152,BG-28,Jambol Province,EU,BG
306734,BH-13,Capital Governorate,AS,BH
306733,BH-14,Southern Governorate,AS,BH
306732,BH-15,Muharraq Governorate,AS,BH
306731,BH-16,Central Governorate,AS,BH
306730,BH-17,Northern Governorate,AS,BH
303155,BI-BB,Bubanza Province,AF,BI
332643,BI-BL,Bujumbura Rural Province,AF,BI
303156,BI-BM,Bujumbura Mairie Province,AF,BI
303157,BI-BR,Bururi Province,AF,BI
303158,BI-CA,Cankuzo Province,AF,BI
303159,BI-CI,Cibitoke Province,AF,BI
303160,BI-GI,Gitega Province,AF,BI
332644,BI-KI,Kirundo Province,AF,BI
303161,BI-KR,Karuzi Province,AF,BI
303162,BI-KY,Kayanza Province,AF,BI
303163,BI-MA,Makamba Province,AF,BI
303164,BI-MU,Muramvya Province,AF,BI
303165,BI-MW,Mwaro Province,AF,BI
332645,BI-MY,Muyinga Province,AF,BI
303166,BI-NG,Ngozi Province,AF,BI
332646,BI-RM,Rumonge Province,AF,BI
303167,BI-RT,Rutana Province,AF,BI
303168,BI-RY,Ruyigi Province,AF,BI
303170,BJ-AK,Atakora,AF,BJ
303171,BJ-AL,Alibori,AF,BJ
303172,BJ-AQ,Atlantique,AF,BJ
303173,BJ-BO,Borgou,AF,BJ
303174,BJ-CO,Collines,AF,BJ
303175,BJ-DO,Donga,AF,BJ
303176,BJ-KO,Kouffo,AF,BJ
303177,BJ-LI,Littoral,AF,BJ
303178,BJ-MO,Mono,AF,BJ
303179,BJ-OU,Oueme,AF,BJ
303180,BJ-PL,Plateau,AF,BJ
303182,BJ-ZO,Zou,AF,BJ
303184,BN-BE,Belait District,AS,BN
303185,BN-BM,Brunei-Muara District,AS,BN
303186,BN-TE,Temburong District,AS,BN
303187,BN-TU,Tutong District,AS,BN
303189,BO-B,El Beni Department,SA,BO
303190,BO-C,Cochabamba Department,SA,BO
303191,BO-H,Chuquisaca Department,SA,BO
303192,BO-L,La Paz Department,SA,BO
303193,BO-N,Pando Department,SA,BO
303194,BO-O,Oruro Department,SA,BO
303195,BO-P,Potos�����,SA,BO
303196,BO-S,Santa Cruz Department,SA,BO
303197,BO-T,Tarija Department,SA,BO
303199,BR-AC,Acre,SA,BR
303200,BR-AL,Alagoas,SA,BR
303201,BR-AM,Amazonas,SA,BR
303202,BR-AP,Amap�,SA,BR
303203,BR-BA,Bahia,SA,BR
303204,BR-CE,Cear�,SA,BR
303205,BR-DF,Distrito Federal,SA,BR
303206,BR-ES,Esp����,SA,BR
303207,BR-GO,Goi�,SA,BR
303208,BR-MA,Maranh�,SA,BR
303209,BR-MG,Minas Gerais,SA,BR
303210,BR-MS,Mato Grosso do Sul,SA,BR
303211,BR-MT,Mato Grosso,SA,BR
303212,BR-PA,Par�,SA,BR
303213,BR-PB,Para��,SA,BR
303214,BR-PE,Pernambuco,SA,BR
303215,BR-PI,Piau�,SA,BR
303216,BR-PR,Paran�,SA,BR
303217,BR-RJ,Rio de Janeiro,SA,BR
303218,BR-RN,Rio Grande do Norte,SA,BR
303219,BR-RO,Rond��,SA,BR
303220,BR-RR,Roraima,SA,BR
303221,BR-RS,Rio Grande do Sul,SA,BR
303222,BR-SC,Santa Catarina,SA,BR
303223,BR-SE,Sergipe,SA,BR
303224,BR-SP,S���,SA,BR
303225,BR-TO,Tocatins,SA,BR
303227,BS-AK,Acklins,NA,BS
303228,BS-BI,Bimini,NA,BS
336477,BS-BP,Black Point,NA,BS
336476,BS-BY,Berry Islands,NA,BS
336480,BS-CE,Central Eleuthera,NA,BS
303229,BS-CI,Cat Island,NA,BS
336475,BS-CK,Crooked Island and Long Cay,NA,BS
336478,BS-CO,Central Abaco,NA,BS
336479,BS-CS,Central Andros,NA,BS
336481,BS-EG,East Grand Bahama,NA,BS
303230,BS-EX,Exuma,NA,BS
303232,BS-FP,City of Freeport,NA,BS
336474,BS-GC,Grand Cay,NA,BS
303235,BS-HI,Harbour Island,NA,BS
336487,BS-HT,Hope Town,NA,BS
303237,BS-IN,Inagua,NA,BS
303239,BS-LI,Long Island,NA,BS
336488,BS-MC,Mangrove Cay,NA,BS
303240,BS-MG,Mayaguana,NA,BS
336482,BS-MI,Moore's Island,NA,BS
336489,BS-NE,North Eleuthera,NA,BS
303234,BS-NO,North Abaco,NA,BS
303243,BS-NP,New Providence,NA,BS
303242,BS-NS,North Andros,NA,BS
303247,BS-RC,Rum Cay,NA,BS
303244,BS-RI,Ragged Island,NA,BS
303238,BS-SA,South Andros,NA,BS
303245,BS-SE,South Eleuthera,NA,BS
336484,BS-SO,South Abaco,NA,BS
336483,BS-SS,San Salvador,NA,BS
336485,BS-SW,Spanish Wells,NA,BS
336486,BS-WG,West Grand Bahama,NA,BS
303249,BT-11,Paro,AS,BT
303250,BT-12,Chhukha,AS,BT
303251,BT-13,Ha,AS,BT
303252,BT-14,Samtee,AS,BT
303253,BT-15,Thimphu,AS,BT
303254,BT-21,Tsirang,AS,BT
303255,BT-22,Dagana,AS,BT
303256,BT-23,Punakha,AS,BT
303257,BT-24,Wangdue Phodrang,AS,BT
303258,BT-31,Sarpang,AS,BT
303259,BT-32,Trongsa,AS,BT
303260,BT-33,Bumthang,AS,BT
303261,BT-34,Zhemgang,AS,BT
303262,BT-41,Trashigang,AS,BT
303263,BT-42,Monggar,AS,BT
303264,BT-43,Pemagatshel,AS,BT
303265,BT-44,Lhuentse,AS,BT
303266,BT-45,Samdrup Jongkha,AS,BT
303267,BT-GA,Gasa,AS,BT
303268,BT-TY,Trashi Yangtse,AS,BT
303270,BW-CE,Central District,AF,BW
303271,BW-GH,Ghanzi District,AF,BW
303272,BW-KG,Kgalagadi District,AF,BW
303273,BW-KL,Kgatleng District,AF,BW
303274,BW-KW,Kweneng District,AF,BW
303275,BW-NE,North-East District,AF,BW
303276,BW-NW,North-West District,AF,BW
303277,BW-SE,South-East District,AF,BW
303278,BW-SO,Southern District,AF,BW
303280,BY-BR,Brest Voblast,EU,BY
303281,BY-HO,Homiel Voblast,EU,BY
303282,BY-HR,Hrodna Voblast,EU,BY
303283,BY-MA,Mahilyow Voblast,EU,BY
303284,BY-MI,Minsk Voblast,EU,BY
303286,BY-VI,Vitsebsk Voblast,EU,BY
303287,BZ-BZ,Belize District,NA,BZ
303288,BZ-CY,Cayo District,NA,BZ
303289,BZ-CZL,Corozal District,NA,BZ
303290,BZ-OW,Orange Walk District,NA,BZ
303291,BZ-SC,Stann Creek District,NA,BZ
303292,BZ-TOL,Toledo District,NA,BZ
303294,CA-AB,Alberta,NA,CA
303295,CA-BC,British Columbia,NA,CA
303296,CA-MB,Manitoba,NA,CA
303297,CA-NB,New Brunswick,NA,CA
303298,CA-NL,Newfoundland and Labrador,NA,CA
303299,CA-NS,Nova Scotia,NA,CA
303300,CA-NT,Northwest Territories,NA,CA
303301,CA-NU,Nunavut,NA,CA
303302,CA-ON,Ontario,NA,CA
303303,CA-PE,Prince Edward Island,NA,CA
303304,CA-QC,Quebec,NA,CA
303305,CA-SK,Saskatchewan,NA,CA
303307,CA-YT,Yukon,NA,CA
303309,CD-BC,Bas-Congo Province,AF,CD
303310,CD-BN,Bandundu Province,AF,CD
303311,CD-EQ,Equateur Province,AF,CD
303312,CD-HC,Haut-Congo Province,AF,CD
303313,CD-KA,Katanga Province,AF,CD
303314,CD-KE,Kasai-Oriental Province,AF,CD
303315,CD-KN,Kinshasa Province,AF,CD
303316,CD-KW,Kasai-Occidental Province,AF,CD
303317,CD-MA,Maniema Province,AF,CD
303318,CD-NK,Nord-Kivu Province,AF,CD
303319,CD-OR,Orientale Province,AF,CD
303320,CD-SK,Sud-Kivu Province,AF,CD
303322,CF-AC,Ouham,AF,CF
303323,CF-BB,Bamingui-Bangoran,AF,CF
303324,CF-BGF,Bangui,AF,CF
303325,CF-BK,Basse-Kotto,AF,CF
303326,CF-HK,Haute-Kotto,AF,CF
303327,CF-HM,Haut-Mbomou,AF,CF
303328,CF-HS,Mamb�����,AF,CF
303329,CF-KB,Nana-Gr��,AF,CF
303330,CF-KG,K��,AF,CF
303331,CF-LB,Lobaye,AF,CF
303332,CF-MB,Mbomou,AF,CF
303333,CF-MP,Ombella-M'Poko,AF,CF
303334,CF-NM,Nana-Mamb��,AF,CF
303335,CF-OP,Ouham-Pend�,AF,CF
303336,CF-SE,Sangha-Mba��,AF,CF
303338,CF-UK,Ouaka,AF,CF
303339,CF-VR,Vakaga,AF,CF
303340,CG-11,Bouenza Department,AF,CG
303341,CG-12,Pool Department,AF,CG
303342,CG-13,Sangha Department,AF,CG
303343,CG-14,Plateaux Department,AF,CG
303344,CG-15,Cuvette-Ouest Department,AF,CG
303345,CG-2,L������k,AF,CG
303346,CG-5,Kouilou Department,AF,CG
303347,CG-7,Likouala Department,AF,CG
303348,CG-8,Cuvette Department,AF,CG
303349,CG-9,Niari Department,AF,CG
303350,CG-BZV,Brazzaville Department,AF,CG
303352,CH-AG,Canton of Aargau,EU,CH
303353,CH-AI,Canton of Appenzell Innerrhoden,EU,CH
303354,CH-AR,Canton of Appenzell Ausserrhoden,EU,CH
303355,CH-BE,Canton of Berne,EU,CH
303356,CH-BL,Canton of Basel-Country,EU,CH
303357,CH-BS,Canton of Basel-City,EU,CH
303358,CH-FR,Canton of Fribourg,EU,CH
303359,CH-GE,Canton of Geneva,EU,CH
303360,CH-GL,Canton of Glarus,EU,CH
303361,CH-GR,Canton of Grisons,EU,CH
303362,CH-JU,Canton of Jura,EU,CH
303363,CH-LU,Canton of Lucerne,EU,CH
303364,CH-NE,Canton of Neuch��,EU,CH
303365,CH-NW,Canton of Nidwalden,EU,CH
303366,CH-OW,Canton of Obwalden,EU,CH
303367,CH-SG,Canton of St. Gallen,EU,CH
303368,CH-SH,Canton of Schaffhausen,EU,CH
303369,CH-SO,Canton of Solothurn,EU,CH
303370,CH-SZ,Canton of Schwyz,EU,CH
303371,CH-TG,Canton of Thurgau,EU,CH
303372,CH-TI,Canton of Ticino,EU,CH
303374,CH-UR,Canton of Uri,EU,CH
303375,CH-VD,Canton of Vaud,EU,CH
303376,CH-VS,Canton of Valais,EU,CH
303377,CH-ZG,Canton of Zug,EU,CH
303378,CH-ZH,Canton of Zurich,EU,CH
303379,CI-01,Lagunes,AF,CI
303380,CI-02,Haut-Sassandra,AF,CI
303381,CI-03,Savanes,AF,CI
303382,CI-04,Vall�����,AF,CI
303383,CI-05,Moyen-Como�,AF,CI
303384,CI-06,Dix-Huit Montagnes,AF,CI
303385,CI-07,Lacs,AF,CI
303386,CI-08,Zanzan,AF,CI
303387,CI-09,Bas-Sassandra,AF,CI
303388,CI-10,Dengu��,AF,CI
303389,CI-11,N'zi-Como�,AF,CI
303390,CI-12,Marahou�,AF,CI
303391,CI-13,Sud-Como�,AF,CI
303392,CI-14,Worodouqou,AF,CI
303393,CI-15,Sud-Bandama,AF,CI
303394,CI-16,Agn��,AF,CI
306391,CI-17,Bafing,AF,CI
306390,CI-18,Fromager,AF,CI
306389,CI-19,Moyen-Cavally,AF,CI
303397,CL-AI,Ays����,SA,CL
303398,CL-AN,Antofagasta Region,SA,CL
306387,CL-AP,Arica and Parinacota Region,SA,CL
303399,CL-AR,Araucan����,SA,CL
303400,CL-AT,Atacama Region,SA,CL
303401,CL-BI,B�����,SA,CL
303402,CL-CO,Coquimbo Region,SA,CL
303403,CL-LI,O'Higgins Region,SA,CL
303404,CL-LL,Los Lagos Region,SA,CL
306388,CL-LR,Los R����,SA,CL
303405,CL-MA,Magallanes Region,SA,CL
303406,CL-ML,Maule Region,SA,CL
303407,CL-RM,Santiago Metropolitan Region,SA,CL
303408,CL-TA,Tarapac���,SA,CL
303410,CL-VS,Valpara����,SA,CL
303411,CM-AD,Adamaoua Region,AF,CM
303412,CM-CE,Centre Region,AF,CM
303413,CM-EN,Far North Region,AF,CM
303414,CM-ES,East Region,AF,CM
303415,CM-LT,Littoral Region,AF,CM
303416,CM-NO,North Region,AF,CM
303417,CM-NW,North-West Region,AF,CM
303418,CM-OU,West Region,AF,CM
303419,CM-SU,South Region,AF,CM
303420,CM-SW,South-West Region,AF,CM
303422,CN-11,Beijing Municipality,AS,CN
303423,CN-12,Tianjin Municipality,AS,CN
303424,CN-13,Hebei Province,AS,CN
303425,CN-14,Shanxi Province,AS,CN
303426,CN-15,Inner Mongolia Autonomous Region,AS,CN
303427,CN-21,Liaoning Province,AS,CN
303428,CN-22,Jilin Province,AS,CN
303429,CN-23,Heilongjiang Province,AS,CN
303430,CN-31,Shanghai Municipality,AS,CN
303431,CN-32,Jiangsu Province,AS,CN
303432,CN-33,Zhejiang Province,AS,CN
303433,CN-34,Anhui Province,AS,CN
303434,CN-35,Fujian Province,AS,CN
303435,CN-36,Jiangxi Province,AS,CN
303436,CN-37,Shandong Province,AS,CN
303437,CN-41,Henan Province,AS,CN
303438,CN-42,Hubei Province,AS,CN
303439,CN-43,Hunan Province,AS,CN
303440,CN-44,Guangdong Province,AS,CN
303441,CN-45,Guangxi Autonomous Region,AS,CN
303442,CN-46,Hainan Province,AS,CN
303443,CN-50,Chongqing Municipality,AS,CN
303444,CN-51,Sichuan Province,AS,CN
303445,CN-52,Guizhou Province,AS,CN
303446,CN-53,Yunnan Province,AS,CN
303447,CN-54,Tibet Autonomous Region,AS,CN
303448,CN-61,Shaanxi Province,AS,CN
303449,CN-62,Gansu Province,AS,CN
303450,CN-63,Qinghai Province,AS,CN
303451,CN-64,Ningxia Autonomous Region,AS,CN
303452,CN-65,Xinjiang Autonomous Region,AS,CN
